Timestamp,ID_REC,ID_SERIES,CALNAME,APPLICATIONNAME,CPFNAME,Property_1_Name,Property_1_Value,Property_1_U,Property_1_H,Property_1_S,Property_1_Flags,Property_2_Name,Property_2_Value,Property_2_U,Property_2_H,Property_2_S,Property_2_Flags,NumSpec,NumSpecOK,NumSpecOK%,Reference Remaining Time,"Number of ""Intensity Too High"" spectra"
10/11/2022 17:48,ILMC tier 5 and 6_35_109_7116475,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,19.5622,0.743,1.0092,1.9772,,SoyProtein,44.7648,1.41,0.82438,2.8608,,130,34,26.154,0:44:41,0
10/11/2022 17:49,ILMC tier 5 and 6_34_109_7116411,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,22.3838,0.743,1.0431,3.2368,,SoyProtein,39.3626,1.41,1.0345,3.4611,,129,35,27.132,0:44:15,0
10/11/2022 17:49,ILMC tier 5 and 6_33_109_7116438,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,22.4247,0.757,3.5799,4.2016,,SoyProtein,42.0799,1.44,4.1069,3.6466,,129,29,22.481,0:43:48,0
10/11/2022 17:49,ILMC tier 5 and 6_32_109_7116415,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,23.3816,0.745,1.4866,2.4814,,SoyProtein,38.6225,1.41,1.3354,3.16,,130,36,27.692,0:43:23,0
10/11/2022 17:50,ILMC tier 5 and 6_31_109_7116419,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.8748,0.74,0.62181,3.1895,,SoyProtein,44.6921,1.41,0.79896,3.3659,,129,32,24.806,0:42:54,0
10/11/2022 17:50,ILMC tier 5 and 6_30_109_7116073,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,21.4241,0.748,1.9784,3.9328,,SoyProtein,43.3793,1.42,2.6512,3.2196,,130,26,20,0:42:27,0
10/11/2022 17:51,ILMC tier 5 and 6_29_109_7116060,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,22.1183,0.753,2.9097,3.6451,,SoyProtein,42.6,1.43,3.7136,2.9782,,129,32,24.806,0:41:58,0
10/11/2022 17:51,ILMC tier 5 and 6_28_109_7018157,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.798,0.744,1.2055,2.0981,,SoyProtein,46.7547,1.41,1.3888,2.6395,,130,37,28.462,0:41:33,0
10/11/2022 17:52,ILMC tier 5 and 6_27_109_7018160,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,23.4826,0.746,1.7196,2.5982,,SoyProtein,39.7579,1.42,2.0611,3.5019,,129,26,20.155,0:41:06,0
10/11/2022 17:52,ILMC tier 5 and 6_26_109_7018136,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.3073,0.746,1.6217,2.4257,,SoyProtein,47.3108,1.41,1.6322,2.7876,,129,28,21.705,0:40:38,0
